Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:59.243000,VER,1,0 days 00:01:30.827000,1.0,1.0,,,,0 days 00:00:30.903000,0 days 00:00:28.827000,,0 days 01:03:30.484000,0 days 01:03:59.211000,315.0,316.0,311.0,286.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:02:28.137000,2022-09-11 13:03:28.378,1,4.0,False,,False,False
0 days 01:05:25.644000,VER,1,0 days 00:01:26.401000,2.0,1.0,,,0 days 00:00:28.387000,0 days 00:00:29.504000,0 days 00:00:28.510000,0 days 01:04:27.598000,0 days 01:04:57.102000,0 days 01:05:25.612000,304.0,303.0,303.0,314.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:03:59.243000,2022-09-11 13:04:59.484,1,3.0,False,,False,True
0 days 01:06:51.825000,VER,1,0 days 00:01:26.181000,3.0,1.0,,,0 days 00:00:28.205000,0 days 00:00:29.457000,0 days 00:00:28.519000,0 days 01:05:53.817000,0 days 01:06:23.274000,0 days 01:06:51.793000,,303.0,304.0,309.0,True,SOFT,3.0,True,Red Bull Racing,0 days 01:05:25.644000,2022-09-11 13:06:25.885,1,3.0,False,,False,True
0 days 01:08:17.607000,VER,1,0 days 00:01:25.782000,4.0,1.0,,,0 days 00:00:27.936000,0 days 00:00:29.170000,0 days 00:00:28.676000,0 days 01:07:19.729000,0 days 01:07:48.899000,0 days 01:08:17.575000,307.0,324.0,306.0,325.0,True,SOFT,4.0,True,Red Bull Racing,0 days 01:06:51.825000,2022-09-11 13:07:52.066,1,3.0,False,,False,True
0 days 01:09:43.119000,VER,1,0 days 00:01:25.512000,5.0,1.0,,,0 days 00:00:27.904000,0 days 00:00:29.341000,0 days 00:00:28.267000,0 days 01:08:45.479000,0 days 01:09:14.820000,0 days 01:09:43.087000,305.0,301.0,302.0,347.0,True,SOFT,5.0,True,Red Bull Racing,0 days 01:08:17.607000,2022-09-11 13:09:17.848,1,2.0,False,,False,True
0 days 01:11:08.779000,VER,1,0 days 00:01:25.660000,6.0,1.0,,,0 days 00:00:28.188000,0 days 00:00:29.273000,0 days 00:00:28.199000,0 days 01:10:11.275000,0 days 01:10:40.548000,0 days 01:11:08.747000,300.0,301.0,303.0,306.0,False,SOFT,6.0,True,Red Bull Racing,0 days 01:09:43.119000,2022-09-11 13:10:43.360,1,2.0,False,,False,True
0 days 01:12:34.076000,VER,1,0 days 00:01:25.297000,7.0,1.0,,,0 days 00:00:28.071000,0 days 00:00:29.065000,0 days 00:00:28.161000,0 days 01:11:36.818000,0 days 01:12:05.883000,0 days 01:12:34.044000,301.0,304.0,304.0,307.0,True,SOFT,7.0,True,Red Bull Racing,0 days 01:11:08.779000,2022-09-11 13:12:09.020,1,2.0,False,,False,True
0 days 01:13:59.694000,VER,1,0 days 00:01:25.618000,8.0,1.0,,,0 days 00:00:28.020000,0 days 00:00:29.303000,0 days 00:00:28.295000,0 days 01:13:02.064000,0 days 01:13:31.367000,0 days 01:13:59.662000,302.0,304.0,303.0,309.0,False,SOFT,8.0,True,Red Bull Racing,0 days 01:12:34.076000,2022-09-11 13:13:34.317,1,2.0,False,,False,True
0 days 01:15:25.580000,VER,1,0 days 00:01:25.886000,9.0,1.0,,,0 days 00:00:28.062000,0 days 00:00:29.337000,0 days 00:00:28.487000,0 days 01:14:27.724000,0 days 01:14:57.061000,0 days 01:15:25.548000,303.0,305.0,303.0,311.0,False,SOFT,9.0,True,Red Bull Racing,0 days 01:13:59.694000,2022-09-11 13:14:59.935,1,2.0,False,,False,True
0 days 01:16:51.533000,VER,1,0 days 00:01:25.953000,10.0,1.0,,,0 days 00:00:28.097000,0 days 00:00:29.415000,0 days 00:00:28.441000,0 days 01:15:53.645000,0 days 01:16:23.060000,0 days 01:16:51.501000,301.0,306.0,303.0,309.0,False,SOFT,10.0,True,Red Bull Racing,0 days 01:15:25.580000,2022-09-11 13:16:25.821,1,2.0,False,,False,True
