Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:36.151000,VER,1,0 days 00:01:45.222000,1.0,1.0,,,,0 days 00:00:31.408000,0 days 00:00:31.152000,,0 days 01:04:05.068000,0 days 01:04:36.114000,287.0,289.0,300.0,326.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:50.632000,2023-03-19 17:03:50.718,1,13.0,False,,False,False
0 days 01:06:13.831000,VER,1,0 days 00:01:37.680000,2.0,1.0,,,0 days 00:00:36.595000,0 days 00:00:30.654000,0 days 00:00:30.431000,0 days 01:05:12.709000,0 days 01:05:43.363000,0 days 01:06:13.794000,284.0,307.0,296.0,318.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:04:36.151000,2023-03-19 17:05:36.237,1,13.0,False,,False,True
0 days 01:07:50.357000,VER,1,0 days 00:01:36.526000,3.0,1.0,,,0 days 00:00:36.020000,0 days 00:00:30.417000,0 days 00:00:30.089000,0 days 01:06:49.814000,0 days 01:07:20.231000,0 days 01:07:50.320000,288.0,325.0,309.0,342.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:06:13.831000,2023-03-19 17:07:13.917,1,13.0,False,,False,True
0 days 01:09:26.860000,VER,1,0 days 00:01:36.503000,4.0,1.0,,,0 days 00:00:36.021000,0 days 00:00:30.177000,0 days 00:00:30.305000,0 days 01:08:26.341000,0 days 01:08:56.518000,0 days 01:09:26.823000,286.0,293.0,310.0,321.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:07:50.357000,2023-03-19 17:08:50.443,1,12.0,False,,False,True
0 days 01:11:02.219000,VER,1,0 days 00:01:35.359000,5.0,1.0,,,0 days 00:00:35.096000,0 days 00:00:30.116000,0 days 00:00:30.147000,0 days 01:10:01.919000,0 days 01:10:32.035000,0 days 01:11:02.182000,,308.0,296.0,318.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:09:26.860000,2023-03-19 17:10:26.946,1,11.0,True,TRACK LIMITS AT TURN 23 LAP 5 ,False,True
0 days 01:12:38.059000,VER,1,0 days 00:01:35.840000,6.0,1.0,,,0 days 00:00:35.547000,0 days 00:00:30.100000,0 days 00:00:30.193000,0 days 01:11:37.729000,0 days 01:12:07.829000,0 days 01:12:38.022000,287.0,308.0,296.0,313.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:11:02.219000,2023-03-19 17:12:02.305,1,11.0,False,,False,True
0 days 01:14:13.746000,VER,1,0 days 00:01:35.687000,7.0,1.0,,,0 days 00:00:35.409000,0 days 00:00:30.025000,0 days 00:00:30.253000,0 days 01:13:13.431000,0 days 01:13:43.456000,0 days 01:14:13.709000,,321.0,309.0,336.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:12:38.059000,2023-03-19 17:13:38.145,1,11.0,False,,False,True
0 days 01:15:48.875000,VER,1,0 days 00:01:35.129000,8.0,1.0,,,0 days 00:00:35.091000,0 days 00:00:30.143000,0 days 00:00:29.895000,0 days 01:14:48.800000,0 days 01:15:18.943000,0 days 01:15:48.838000,284.0,304.0,308.0,314.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:14:13.746000,2023-03-19 17:15:13.832,1,10.0,False,,False,True
0 days 01:17:24.436000,VER,1,0 days 00:01:35.561000,9.0,1.0,,,0 days 00:00:35.450000,0 days 00:00:30.017000,0 days 00:00:30.094000,0 days 01:16:24.288000,0 days 01:16:54.305000,0 days 01:17:24.399000,288.0,307.0,297.0,325.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:15:48.875000,2023-03-19 17:16:48.961,1,9.0,False,,False,True
0 days 01:18:59.879000,VER,1,0 days 00:01:35.443000,10.0,1.0,,,0 days 00:00:35.434000,0 days 00:00:30.050000,0 days 00:00:29.959000,0 days 01:17:59.833000,0 days 01:18:29.883000,0 days 01:18:59.842000,,307.0,309.0,314.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:17:24.436000,2023-03-19 17:18:24.522,1,9.0,False,,False,True
0 days 01:20:35.185000,VER,1,0 days 00:01:35.306000,11.0,1.0,,,0 days 00:00:35.387000,0 days 00:00:29.767000,0 days 00:00:30.152000,0 days 01:19:35.229000,0 days 01:20:04.996000,0 days 01:20:35.148000,287.0,310.0,311.0,295.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:18:59.879000,2023-03-19 17:19:59.965,1,9.0,False,,False,True
0 days 01:22:10.033000,VER,1,0 days 00:01:34.848000,12.0,1.0,,,0 days 00:00:34.856000,0 days 00:00:29.984000,0 days 00:00:30.008000,0 days 01:21:10.004000,0 days 01:21:39.988000,0 days 01:22:09.996000,288.0,308.0,296.0,309.0,True,MEDIUM,12.0,True,Red Bull Racing,0 days 01:20:35.185000,2023-03-19 17:21:35.271,1,8.0,False,,False,True
0 days 01:23:45.216000,VER,1,0 days 00:01:35.183000,13.0,1.0,,,0 days 00:00:35.069000,0 days 00:00:29.867000,0 days 00:00:30.247000,0 days 01:22:45.065000,0 days 01:23:14.932000,0 days 01:23:45.179000,,323.0,309.0,334.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:22:10.033000,2023-03-19 17:23:10.119,1,8.0,False,,False,True
