Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:10:15.375000,VER,1,0 days 00:02:18.601000,1.0,1.0,,,,0 days 00:00:53.475000,0 days 00:00:44.864000,,0 days 02:09:30.549000,0 days 02:10:15.420000,233.0,241.0,229.0,203.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 02:07:56.483000,2022-10-02 13:08:56.490,12,12.0,False,,False,False
0 days 02:12:19.764000,VER,1,0 days 00:02:04.389000,2.0,1.0,,,0 days 00:00:32.523000,0 days 00:00:48.799000,0 days 00:00:43.067000,0 days 02:10:47.888000,0 days 02:11:36.687000,0 days 02:12:19.754000,275.0,256.0,233.0,278.0,True,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 02:10:15.375000,2022-10-02 13:11:15.382,1,10.0,False,,False,True
0 days 02:14:23.133000,VER,1,0 days 00:02:03.369000,3.0,1.0,,,0 days 00:00:32.435000,0 days 00:00:48.845000,0 days 00:00:42.089000,0 days 02:12:52.189000,0 days 02:13:41.034000,0 days 02:14:23.123000,282.0,258.0,235.0,,True,INTERMEDIATE,3.0,True,Red Bull Racing,0 days 02:12:19.764000,2022-10-02 13:13:19.771,1,9.0,False,,False,True
0 days 02:16:26.371000,VER,1,0 days 00:02:03.238000,4.0,1.0,,,0 days 00:00:31.869000,0 days 00:00:49.406000,0 days 00:00:41.963000,0 days 02:14:54.992000,0 days 02:15:44.398000,0 days 02:16:26.361000,264.0,254.0,238.0,272.0,True,INTERMEDIATE,4.0,True,Red Bull Racing,0 days 02:14:23.133000,2022-10-02 13:15:23.140,1,9.0,False,,False,True
0 days 02:18:29.074000,VER,1,0 days 00:02:02.703000,5.0,1.0,,,0 days 00:00:31.644000,0 days 00:00:48.332000,0 days 00:00:42.727000,0 days 02:16:58.005000,0 days 02:17:46.337000,0 days 02:18:29.064000,286.0,258.0,232.0,278.0,True,INTERMEDIATE,5.0,True,Red Bull Racing,0 days 02:16:26.371000,2022-10-02 13:17:26.378,1,9.0,False,,False,True
0 days 02:20:32.101000,VER,1,0 days 00:02:03.027000,6.0,1.0,,,0 days 00:00:31.900000,0 days 00:00:48.435000,0 days 00:00:42.692000,0 days 02:19:00.964000,0 days 02:19:49.399000,0 days 02:20:32.091000,284.0,254.0,236.0,275.0,False,INTERMEDIATE,6.0,True,Red Bull Racing,0 days 02:18:29.074000,2022-10-02 13:19:29.081,1,9.0,False,,False,True
0 days 02:22:35.390000,VER,1,0 days 00:02:03.289000,7.0,1.0,,,0 days 00:00:32.037000,0 days 00:00:48.482000,0 days 00:00:42.770000,0 days 02:21:04.128000,0 days 02:21:52.610000,0 days 02:22:35.380000,,258.0,236.0,,False,INTERMEDIATE,7.0,True,Red Bull Racing,0 days 02:20:32.101000,2022-10-02 13:21:32.108,12,9.0,False,,False,True
0 days 02:24:58.630000,VER,1,0 days 00:02:23.240000,8.0,1.0,,,0 days 00:00:32.664000,0 days 00:00:55.750000,0 days 00:00:54.826000,0 days 02:23:08.044000,0 days 02:24:03.794000,0 days 02:24:58.620000,,174.0,164.0,,False,INTERMEDIATE,8.0,True,Red Bull Racing,0 days 02:22:35.390000,2022-10-02 13:23:35.397,24,9.0,False,,False,False
0 days 02:27:41.379000,VER,1,,9.0,1.0,,,0 days 00:00:42.191000,0 days 00:01:02.511000,0 days 00:00:57.988000,0 days 02:25:40.907000,0 days 02:26:43.381000,0 days 02:27:41.417000,207.0,210.0,156.0,215.0,False,INTERMEDIATE,9.0,True,Red Bull Racing,0 days 02:24:58.630000,2022-10-02 13:25:58.637,4,9.0,False,,False,False
0 days 02:30:19.918000,VER,1,,10.0,1.0,,,0 days 00:00:44.443000,0 days 00:01:09.294000,0 days 00:00:44.859000,0 days 02:28:25.827000,0 days 02:29:35.126000,0 days 02:30:20.008000,200.0,219.0,234.0,235.0,False,INTERMEDIATE,10.0,True,Red Bull Racing,0 days 02:27:41.379000,2022-10-02 13:28:41.386,41,9.0,False,,False,False
0 days 02:32:21.530000,VER,1,0 days 00:02:01.612000,11.0,1.0,,,0 days 00:00:31.906000,0 days 00:00:48.257000,0 days 00:00:41.449000,0 days 02:30:51.814000,0 days 02:31:40.071000,0 days 02:32:21.520000,292.0,256.0,237.0,282.0,True,INTERMEDIATE,11.0,True,Red Bull Racing,0 days 02:30:19.918000,2022-10-02 13:31:19.925,1,7.0,False,,False,True
0 days 02:34:22.497000,VER,1,0 days 00:02:00.967000,12.0,1.0,,,0 days 00:00:31.528000,0 days 00:00:47.305000,0 days 00:00:42.134000,0 days 02:32:53.048000,0 days 02:33:40.353000,0 days 02:34:22.487000,283.0,257.0,238.0,274.0,True,INTERMEDIATE,12.0,True,Red Bull Racing,0 days 02:32:21.530000,2022-10-02 13:33:21.537,1,7.0,False,,False,True
0 days 02:36:24.339000,VER,1,0 days 00:02:01.842000,13.0,1.0,,,0 days 00:00:31.763000,0 days 00:00:47.835000,0 days 00:00:42.244000,0 days 02:34:54.250000,0 days 02:35:42.085000,0 days 02:36:24.329000,288.0,260.0,236.0,281.0,False,INTERMEDIATE,13.0,True,Red Bull Racing,0 days 02:34:22.497000,2022-10-02 13:35:22.504,1,7.0,False,,False,True
0 days 02:38:25.897000,VER,1,0 days 00:02:01.558000,14.0,1.0,,,0 days 00:00:31.631000,0 days 00:00:47.719000,0 days 00:00:42.208000,0 days 02:36:55.960000,0 days 02:37:43.679000,0 days 02:38:25.887000,292.0,256.0,235.0,278.0,False,INTERMEDIATE,14.0,True,Red Bull Racing,0 days 02:36:24.339000,2022-10-02 13:37:24.346,1,7.0,False,,False,True
0 days 02:40:27.304000,VER,1,0 days 00:02:01.407000,15.0,1.0,,,0 days 00:00:31.615000,0 days 00:00:47.736000,0 days 00:00:42.056000,0 days 02:38:57.502000,0 days 02:39:45.238000,0 days 02:40:27.294000,293.0,259.0,235.0,279.0,False,INTERMEDIATE,15.0,True,Red Bull Racing,0 days 02:38:25.897000,2022-10-02 13:39:25.904,1,7.0,False,,False,True
0 days 02:42:28.442000,VER,1,0 days 00:02:01.138000,16.0,1.0,,,0 days 00:00:31.700000,0 days 00:00:47.349000,0 days 00:00:42.089000,0 days 02:40:58.994000,0 days 02:41:46.343000,0 days 02:42:28.432000,294.0,260.0,235.0,278.0,False,INTERMEDIATE,16.0,True,Red Bull Racing,0 days 02:40:27.304000,2022-10-02 13:41:27.311,1,7.0,False,,False,True
0 days 02:44:29.351000,VER,1,0 days 00:02:00.909000,17.0,1.0,,,0 days 00:00:31.647000,0 days 00:00:47.308000,0 days 00:00:41.954000,0 days 02:43:00.079000,0 days 02:43:47.387000,0 days 02:44:29.341000,277.0,250.0,237.0,275.0,True,INTERMEDIATE,17.0,True,Red Bull Racing,0 days 02:42:28.442000,2022-10-02 13:43:28.449,1,7.0,False,,False,True
