Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:48.822000,VER,1,,1.0,1.0,,,,0 days 00:00:33.497000,0 days 00:00:38.249000,,0 days 00:15:10.604000,0 days 00:15:48.822000,176.0,204.0,297.0,278.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:14:02.793000,2023-11-19 06:04:05.010,126,1.0,False,,False,False
0 days 00:18:01.833000,VER,1,0 days 00:02:13.011000,2.0,1.0,,,0 days 00:00:39.773000,0 days 00:00:44.450000,0 days 00:00:48.788000,0 days 00:16:28.595000,0 days 00:17:13.045000,0 days 00:18:01.833000,158.0,186.0,295.0,197.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:15:48.822000,2023-11-19 06:05:51.039,671,1.0,False,,False,False
0 days 00:19:51.821000,VER,1,0 days 00:01:49.988000,3.0,1.0,,,0 days 00:00:29.413000,0 days 00:00:33.294000,0 days 00:00:47.281000,0 days 00:18:31.246000,0 days 00:19:04.540000,0 days 00:19:51.821000,176.0,203.0,188.0,279.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:18:01.833000,2023-11-19 06:08:04.050,124,1.0,False,,False,False
0 days 00:22:57.617000,VER,1,,4.0,1.0,,,0 days 00:00:42.603000,0 days 00:01:05.458000,0 days 00:01:17.770000,0 days 00:20:34.504000,0 days 00:21:39.847000,0 days 00:22:57.799000,135.0,85.0,169.0,109.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:19:51.821000,2023-11-19 06:09:54.038,4,1.0,False,,False,False
0 days 00:25:45.267000,VER,1,,5.0,1.0,,,0 days 00:00:46.136000,0 days 00:00:58.360000,0 days 00:01:03.062000,0 days 00:23:43.845000,0 days 00:24:42.234000,0 days 00:25:45.405000,138.0,172.0,142.0,129.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:22:57.617000,2023-11-19 06:12:59.834,4,1.0,False,,False,False
0 days 00:28:26.665000,VER,1,,6.0,1.0,,,0 days 00:00:42.228000,0 days 00:00:48.874000,0 days 00:01:10.412000,0 days 00:26:27.529000,0 days 00:27:16.388000,0 days 00:28:26.840000,142.0,177.0,312.0,108.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:25:45.267000,2023-11-19 06:15:47.484,41,1.0,False,,False,False
0 days 00:30:07.450000,VER,1,0 days 00:01:40.785000,7.0,1.0,,,0 days 00:00:29.256000,0 days 00:00:33.440000,0 days 00:00:38.089000,0 days 00:28:55.921000,0 days 00:29:29.361000,0 days 00:30:07.450000,174.0,205.0,309.0,285.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:28:26.665000,2023-11-19 06:18:28.882,1,1.0,False,,False,True
0 days 00:31:47.592000,VER,1,0 days 00:01:40.142000,8.0,1.0,,,0 days 00:00:29.033000,0 days 00:00:33.306000,0 days 00:00:37.803000,0 days 00:30:36.483000,0 days 00:31:09.789000,0 days 00:31:47.592000,176.0,206.0,311.0,293.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 00:30:07.450000,2023-11-19 06:20:09.667,1,1.0,False,,False,True
0 days 00:33:27.261000,VER,1,0 days 00:01:39.669000,9.0,1.0,,,0 days 00:00:28.653000,0 days 00:00:33.163000,0 days 00:00:37.853000,0 days 00:32:16.245000,0 days 00:32:49.408000,0 days 00:33:27.261000,177.0,205.0,309.0,293.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 00:31:47.592000,2023-11-19 06:21:49.809,1,1.0,False,,False,True
0 days 00:35:06.745000,VER,1,0 days 00:01:39.484000,10.0,1.0,,,0 days 00:00:28.549000,0 days 00:00:33.175000,0 days 00:00:37.760000,0 days 00:33:55.810000,0 days 00:34:28.985000,0 days 00:35:06.745000,,206.0,310.0,297.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 00:33:27.261000,2023-11-19 06:23:29.478,1,1.0,False,,False,True
