Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:28.836000,VER,1,0 days 00:01:23.080000,1.0,1.0,,,,0 days 00:00:25.105000,0 days 00:00:31.257000,,0 days 01:02:57.649000,0 days 01:03:28.914000,250.0,267.0,274.0,300.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:05.478000,2023-06-18 18:03:05.484,1,1.0,False,,False,False
0 days 01:04:46.911000,VER,1,0 days 00:01:18.075000,2.0,1.0,,,0 days 00:00:21.686000,0 days 00:00:25.051000,0 days 00:00:31.338000,0 days 01:03:50.522000,0 days 01:04:15.573000,0 days 01:04:46.911000,243.0,270.0,275.0,301.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:28.836000,2023-06-18 18:04:28.842,1,1.0,False,,False,True
0 days 01:06:04.678000,VER,1,0 days 00:01:17.767000,3.0,1.0,,,0 days 00:00:21.626000,0 days 00:00:24.909000,0 days 00:00:31.232000,0 days 01:05:08.537000,0 days 01:05:33.446000,0 days 01:06:04.678000,246.0,271.0,276.0,300.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:04:46.911000,2023-06-18 18:05:46.917,1,1.0,False,,False,True
0 days 01:07:21.881000,VER,1,0 days 00:01:17.203000,4.0,1.0,,,0 days 00:00:21.438000,0 days 00:00:24.716000,0 days 00:00:31.049000,0 days 01:06:26.116000,0 days 01:06:50.832000,0 days 01:07:21.881000,250.0,269.0,276.0,301.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:06:04.678000,2023-06-18 18:07:04.684,1,1.0,False,,False,True
0 days 01:08:39.252000,VER,1,0 days 00:01:17.371000,5.0,1.0,,,0 days 00:00:21.493000,0 days 00:00:24.718000,0 days 00:00:31.160000,0 days 01:07:43.374000,0 days 01:08:08.092000,0 days 01:08:39.252000,,268.0,275.0,302.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:07:21.881000,2023-06-18 18:08:21.887,1,1.0,False,,False,True
0 days 01:09:56.859000,VER,1,0 days 00:01:17.607000,6.0,1.0,,,0 days 00:00:21.609000,0 days 00:00:24.763000,0 days 00:00:31.235000,0 days 01:09:00.861000,0 days 01:09:25.624000,0 days 01:09:56.859000,239.0,272.0,275.0,301.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:08:39.252000,2023-06-18 18:09:39.258,1,1.0,False,,False,True
0 days 01:11:14.424000,VER,1,0 days 00:01:17.565000,7.0,1.0,,,0 days 00:00:21.600000,0 days 00:00:24.770000,0 days 00:00:31.195000,0 days 01:10:18.459000,0 days 01:10:43.229000,0 days 01:11:14.424000,238.0,272.0,276.0,300.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:09:56.859000,2023-06-18 18:10:56.865,12,1.0,False,,False,True
0 days 01:12:47.079000,VER,1,0 days 00:01:32.655000,8.0,1.0,,,0 days 00:00:28.067000,0 days 00:00:33.169000,0 days 00:00:31.419000,0 days 01:11:42.491000,0 days 01:12:15.660000,0 days 01:12:47.079000,172.0,229.0,275.0,302.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:11:14.424000,2023-06-18 18:12:14.430,2671,1.0,False,,False,False
0 days 01:14:04.574000,VER,1,0 days 00:01:17.495000,9.0,1.0,,,0 days 00:00:21.715000,0 days 00:00:24.787000,0 days 00:00:30.993000,0 days 01:13:08.794000,0 days 01:13:33.581000,0 days 01:14:04.574000,238.0,269.0,274.0,303.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:47.079000,2023-06-18 18:13:47.085,1,1.0,False,,False,True
0 days 01:15:21.933000,VER,1,0 days 00:01:17.359000,10.0,1.0,,,0 days 00:00:21.577000,0 days 00:00:24.746000,0 days 00:00:31.036000,0 days 01:14:26.151000,0 days 01:14:50.897000,0 days 01:15:21.933000,239.0,269.0,276.0,302.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:14:04.574000,2023-06-18 18:15:04.580,1,1.0,False,,False,True
0 days 01:16:39.201000,VER,1,0 days 00:01:17.268000,11.0,1.0,,,0 days 00:00:21.555000,0 days 00:00:24.680000,0 days 00:00:31.033000,0 days 01:15:43.488000,0 days 01:16:08.168000,0 days 01:16:39.201000,240.0,271.0,276.0,302.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:15:21.933000,2023-06-18 18:16:21.939,1,1.0,False,,False,True
0 days 01:18:12.393000,VER,1,0 days 00:01:33.192000,12.0,1.0,,0 days 01:17:50.274000,0 days 00:00:21.533000,0 days 00:00:24.637000,0 days 00:00:47.022000,0 days 01:17:00.734000,0 days 01:17:25.371000,0 days 01:18:12.393000,,272.0,,302.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:16:39.201000,2023-06-18 18:17:39.207,124,1.0,False,,False,False
0 days 01:20:42.304000,VER,1,0 days 00:02:29.911000,13.0,2.0,0 days 01:18:13.899000,,0 days 00:00:42.511000,0 days 00:00:56.572000,0 days 00:00:50.828000,0 days 01:18:54.904000,0 days 01:19:51.476000,0 days 01:20:42.304000,89.0,113.0,184.0,131.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:18:12.393000,2023-06-18 18:19:12.399,4,1.0,False,,False,False
