antecedents,consequents,support,confidence,lift,leverage
"frozenset({'Intermediate_Intermediate_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'Wet_Wet_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Wet_Wet_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Wet_Wet_Low', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Wet_Wet_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Wet_Wet_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Wet_Wet_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})","frozenset({'PositionGained_PositionGained_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'PositionGained_PositionGained_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionGained_PositionGained_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionGained_PositionGained_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'PositionGained_PositionGained_Low'})",0.5,1.0,2.0,0.25
"frozenset({'PositionGained_PositionGained_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})","frozenset({'PositionLost_PositionLost_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'PositionLost_PositionLost_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionLost_PositionLost_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionLost_PositionLost_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'PositionLost_PositionLost_Low'})",0.5,1.0,2.0,0.25
"frozenset({'PositionLost_PositionLost_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_High'})","frozenset({'PositionUnchanged_PositionUnchanged_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'PositionUnchanged_PositionUnchanged_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'AvgSectorTime_AvgSectorTime_High', 'PositionUnchanged_PositionUnchanged_Low'})",0.5,1.0,2.0,0.25
