,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,104859,1.0,30719,29546,44594,0,4.0,0,1.0,0,0,0,34953.0,0,0,1,0,1,0,0,0,1,0,0
1,99625,2.0,25264,29807,44554,1,5.0,0,1.0,0,0,0,33208.333333333336,0,0,1,0,1,0,0,0,1,0,0
2,99776,3.0,25599,29859,44318,0,6.0,0,1.0,0,0,0,33258.666666666664,0,0,1,0,1,0,0,0,1,0,0
3,99692,4.0,25176,29897,44619,0,7.0,0,1.0,0,0,0,33230.666666666664,0,0,1,0,1,0,0,0,1,0,0
4,99549,5.0,25177,29961,44411,1,8.0,0,1.0,0,0,0,33183.0,0,0,1,0,1,0,0,0,1,0,0
5,98787,6.0,25008,29724,44055,1,9.0,0,1.0,0,0,0,32929.0,0,0,1,0,1,0,0,0,1,0,0
6,99204,7.0,24990,29758,44456,0,10.0,0,1.0,0,0,0,33068.0,0,0,1,0,1,0,0,0,1,0,0
7,98763,8.0,24992,29721,44050,1,11.0,0,1.0,0,0,0,32921.0,0,0,1,0,1,0,0,0,1,0,0
8,99268,9.0,25089,29831,44348,0,12.0,0,1.0,0,0,0,33089.333333333336,0,0,1,0,1,0,0,0,1,0,0
9,98778,10.0,25035,29672,44071,0,13.0,0,1.0,0,0,0,32926.0,0,0,1,0,1,0,0,0,1,0,0
10,98977,11.0,25104,29755,44118,0,14.0,0,1.0,0,0,0,32992.333333333336,0,0,1,0,1,0,0,0,1,0,0
11,99432,12.0,25156,29837,44439,0,15.0,0,1.0,0,0,0,33144.0,0,0,1,0,1,0,0,0,1,0,0
12,98929,13.0,25157,29635,44137,0,16.0,0,1.0,0,0,0,32976.333333333336,0,0,1,0,1,0,0,0,1,0,0
13,99160,14.0,25080,29696,44384,0,17.0,0,1.0,0,0,0,33053.333333333336,0,0,1,0,1,0,0,0,1,0,0
14,99511,15.0,25236,29631,44644,0,18.0,0,1.0,0,0,0,33170.333333333336,0,0,1,0,1,0,0,0,1,0,0
15,99395,16.0,25100,29685,44610,0,19.0,0,1.0,0,0,0,33131.666666666664,0,0,1,0,1,0,0,0,1,0,0
16,98926,17.0,25150,29607,44169,0,20.0,0,1.0,0,0,0,32975.333333333336,0,0,1,0,1,0,0,0,1,0,0
17,99035,18.0,25199,29610,44226,0,21.0,0,1.0,0,0,0,33011.666666666664,0,0,1,0,1,0,0,0,1,0,0
18,118684,19.0,25303,29447,63934,0,22.0,0,2.0,0,1,0,39561.333333333336,0,1,0,0,1,0,0,0,0,1,0
19,101873,20.0,29276,29105,43492,0,1.0,1,3.0,0,0,1,33957.666666666664,0,1,0,0,0,1,0,0,0,1,0
20,97480,21.0,24978,29096,43406,1,2.0,1,3.0,0,0,0,32493.333333333332,0,0,1,0,0,1,0,0,0,1,0
21,97551,22.0,24845,28922,43784,0,3.0,1,3.0,0,0,0,32517.0,0,0,1,0,0,1,0,0,0,1,0
22,97702,23.0,24808,29348,43546,0,4.0,1,3.0,0,0,0,32567.333333333332,0,0,1,0,0,1,0,0,0,1,0
23,97786,24.0,25049,29088,43649,0,5.0,1,2.0,0,0,0,32595.333333333332,1,0,0,0,0,1,0,0,0,1,0
24,97947,25.0,25115,29168,43664,0,6.0,1,2.0,0,0,0,32649.0,0,0,1,0,0,1,0,0,0,1,0
25,97905,26.0,25110,29123,43672,0,7.0,1,2.0,0,0,0,32635.0,0,0,1,0,0,1,0,0,0,1,0
26,97979,27.0,25292,29030,43657,0,8.0,1,2.0,0,0,0,32659.666666666668,0,0,1,0,0,1,0,0,0,1,0
27,97712,28.0,25054,29009,43649,0,9.0,1,2.0,0,0,0,32570.666666666668,0,0,1,0,0,1,0,0,0,1,0
28,98457,29.0,25093,29414,43950,0,10.0,1,2.0,0,0,0,32819.0,0,0,1,0,0,1,0,0,0,1,0
29,98226,30.0,25124,29430,43672,0,11.0,1,2.0,0,0,0,32742.0,0,0,1,0,0,1,0,0,0,1,0
30,98503,31.0,25145,29628,43730,0,12.0,1,2.0,0,0,0,32834.333333333336,0,0,1,0,0,1,0,0,0,1,0
31,98392,32.0,24893,29528,43971,0,13.0,1,1.0,0,0,0,32797.333333333336,1,0,0,0,0,1,0,0,0,1,0
32,98429,33.0,24940,29493,43996,0,14.0,1,1.0,0,0,0,32809.666666666664,0,0,1,0,0,1,0,0,0,1,0
33,98666,34.0,25118,29626,43922,0,15.0,1,1.0,0,0,0,32888.666666666664,0,0,1,0,0,1,0,0,0,1,0
34,98411,35.0,25125,29608,43678,0,16.0,1,1.0,0,0,0,32803.666666666664,0,0,1,0,0,1,0,0,0,1,0
35,98565,36.0,24887,29523,44155,0,17.0,1,1.0,0,0,0,32855.0,0,0,1,0,0,1,0,0,0,0,1
36,99137,37.0,24940,30310,43887,0,18.0,1,1.0,0,0,0,33045.666666666664,0,0,1,0,0,1,0,0,0,0,1
37,97650,38.0,24733,29395,43522,0,19.0,1,1.0,0,0,0,32550.0,0,0,1,0,0,1,0,0,0,0,1
38,97458,39.0,24805,29309,43344,1,20.0,1,1.0,0,0,0,32486.0,0,0,1,0,0,1,0,0,0,0,1
39,98182,40.0,24871,29367,43944,0,21.0,1,1.0,0,0,0,32727.333333333332,0,0,1,0,0,1,0,0,0,0,1
40,97685,41.0,24831,29391,43463,0,22.0,1,1.0,0,0,0,32561.666666666668,0,0,1,0,0,1,0,0,0,0,1
41,97818,42.0,24807,29450,43561,0,23.0,1,1.0,0,0,0,32606.0,0,0,1,0,0,1,0,0,0,0,1
42,97640,43.0,24836,29409,43395,0,24.0,1,1.0,0,0,0,32546.666666666668,0,0,1,0,0,1,0,0,0,0,1
43,97410,44.0,24779,29346,43285,1,25.0,1,1.0,0,0,0,32470.0,0,0,1,0,0,1,0,0,0,0,1
44,97542,45.0,25151,29359,43032,0,26.0,1,1.0,0,0,0,32514.0,0,0,1,0,0,1,0,0,0,0,1
45,97545,46.0,24781,29470,43294,0,27.0,1,1.0,0,0,0,32515.0,0,0,1,0,0,1,0,0,0,0,1
46,98431,47.0,24704,29365,44362,0,28.0,1,1.0,0,0,0,32810.333333333336,0,0,1,0,0,1,0,0,0,0,1
47,98089,48.0,25189,29454,43446,0,29.0,1,1.0,0,0,0,32696.333333333332,0,0,1,0,0,1,0,0,0,0,1
48,98189,49.0,25439,29541,43209,0,30.0,1,1.0,0,0,0,32729.666666666668,0,0,1,0,0,1,0,0,0,0,1
49,97946,50.0,24718,29658,43570,0,31.0,1,1.0,0,0,0,32648.666666666668,0,0,1,0,0,1,0,0,0,0,1
50,98242,51.0,24886,29606,43750,0,32.0,1,1.0,0,0,0,32747.333333333332,0,0,1,0,0,1,0,0,0,0,1
51,98735,52.0,24969,30137,43629,0,33.0,1,2.0,0,0,0,32911.666666666664,0,1,0,0,0,1,0,0,0,0,1
52,99041,53.0,25098,29728,44215,0,34.0,1,2.0,0,0,0,33013.666666666664,0,0,1,0,0,1,0,0,0,0,1
