Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:23:49.801000,VER,1,0 days 00:01:27.905000,1.0,1.0,,,,0 days 00:00:29.666000,0 days 00:00:28.473000,,0 days 01:23:21.428000,0 days 01:23:49.865000,320.0,307.0,306.0,285.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:22:21.726000,2023-09-03 13:23:22.771,1,3.0,False,,False,False
0 days 01:25:15.964000,VER,1,0 days 00:01:26.163000,2.0,1.0,,,0 days 00:00:28.274000,0 days 00:00:29.543000,0 days 00:00:28.346000,0 days 01:24:18.057000,0 days 01:24:47.600000,0 days 01:25:15.946000,309.0,309.0,307.0,305.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:23:49.801000,2023-09-03 13:24:50.846,1,2.0,False,,False,True
0 days 01:26:41.666000,VER,1,0 days 00:01:25.702000,3.0,1.0,,,0 days 00:00:28.097000,0 days 00:00:29.320000,0 days 00:00:28.285000,0 days 01:25:44.043000,0 days 01:26:13.363000,0 days 01:26:41.648000,310.0,320.0,308.0,309.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:25:15.964000,2023-09-03 13:26:17.009,1,2.0,False,,False,True
0 days 01:28:07.716000,VER,1,0 days 00:01:26.050000,4.0,1.0,,,0 days 00:00:28.145000,0 days 00:00:29.474000,0 days 00:00:28.431000,0 days 01:27:09.793000,0 days 01:27:39.267000,0 days 01:28:07.698000,311.0,320.0,309.0,318.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:26:41.666000,2023-09-03 13:27:42.711,1,2.0,False,,False,True
0 days 01:29:33.892000,VER,1,0 days 00:01:26.176000,5.0,1.0,,,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 01:28:35.853000,0 days 01:29:05.367000,0 days 01:29:33.874000,,321.0,310.0,317.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:28:07.716000,2023-09-03 13:29:08.761,1,2.0,False,,False,True
0 days 01:31:00.729000,VER,1,0 days 00:01:26.837000,6.0,1.0,,,0 days 00:00:28.700000,0 days 00:00:29.662000,0 days 00:00:28.475000,0 days 01:30:02.574000,0 days 01:30:32.236000,0 days 01:31:00.711000,310.0,319.0,309.0,347.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:29:33.892000,2023-09-03 13:30:34.937,1,2.0,False,,False,True
0 days 01:32:27.097000,VER,1,0 days 00:01:26.368000,7.0,1.0,,,0 days 00:00:28.166000,0 days 00:00:29.751000,0 days 00:00:28.451000,0 days 01:31:28.877000,0 days 01:31:58.628000,0 days 01:32:27.079000,309.0,318.0,309.0,320.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:31:00.729000,2023-09-03 13:32:01.774,1,2.0,False,,False,True
0 days 01:33:53.087000,VER,1,0 days 00:01:25.990000,8.0,1.0,,,0 days 00:00:28.075000,0 days 00:00:29.432000,0 days 00:00:28.483000,0 days 01:32:55.154000,0 days 01:33:24.586000,0 days 01:33:53.069000,312.0,322.0,310.0,321.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:32:27.097000,2023-09-03 13:33:28.142,1,2.0,False,,False,True
0 days 01:35:19.692000,VER,1,0 days 00:01:26.605000,9.0,1.0,,,0 days 00:00:28.149000,0 days 00:00:29.927000,0 days 00:00:28.529000,0 days 01:34:21.218000,0 days 01:34:51.145000,0 days 01:35:19.674000,,319.0,309.0,344.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:33:53.087000,2023-09-03 13:34:54.132,1,2.0,False,,False,True
0 days 01:36:46.295000,VER,1,0 days 00:01:26.603000,10.0,1.0,,,0 days 00:00:28.315000,0 days 00:00:29.780000,0 days 00:00:28.508000,0 days 01:35:47.989000,0 days 01:36:17.769000,0 days 01:36:46.277000,,319.0,309.0,322.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:35:19.692000,2023-09-03 13:36:20.737,1,2.0,False,,False,True
0 days 01:38:12.938000,VER,1,0 days 00:01:26.643000,11.0,1.0,,,0 days 00:00:28.233000,0 days 00:00:29.893000,0 days 00:00:28.517000,0 days 01:37:14.510000,0 days 01:37:44.403000,0 days 01:38:12.920000,311.0,322.0,308.0,319.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:36:46.295000,2023-09-03 13:37:47.340,1,2.0,False,,False,True
0 days 01:39:39.380000,VER,1,0 days 00:01:26.442000,12.0,1.0,,,0 days 00:00:28.179000,0 days 00:00:29.813000,0 days 00:00:28.450000,0 days 01:38:41.099000,0 days 01:39:10.912000,0 days 01:39:39.362000,,319.0,310.0,322.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:38:12.938000,2023-09-03 13:39:13.983,1,2.0,False,,False,True
0 days 01:41:06.046000,VER,1,0 days 00:01:26.666000,13.0,1.0,,,0 days 00:00:28.254000,0 days 00:00:29.907000,0 days 00:00:28.505000,0 days 01:40:07.616000,0 days 01:40:37.523000,0 days 01:41:06.028000,313.0,322.0,309.0,,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:39:39.380000,2023-09-03 13:40:40.425,1,2.0,False,,False,True
0 days 01:42:33.074000,VER,1,0 days 00:01:27.028000,14.0,1.0,,,0 days 00:00:28.223000,0 days 00:00:30.280000,0 days 00:00:28.525000,0 days 01:41:34.251000,0 days 01:42:04.531000,0 days 01:42:33.056000,314.0,320.0,310.0,343.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:41:06.046000,2023-09-03 13:42:07.091,1,2.0,False,,False,True
0 days 01:43:59.856000,VER,1,0 days 00:01:26.782000,15.0,1.0,,,0 days 00:00:28.137000,0 days 00:00:30.444000,0 days 00:00:28.201000,0 days 01:43:01.193000,0 days 01:43:31.637000,0 days 01:43:59.838000,320.0,306.0,306.0,345.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:42:33.074000,2023-09-03 13:43:34.119,1,1.0,False,,False,True
0 days 01:45:26.574000,VER,1,0 days 00:01:26.718000,16.0,1.0,,,0 days 00:00:28.450000,0 days 00:00:29.910000,0 days 00:00:28.358000,0 days 01:44:28.288000,0 days 01:44:58.198000,0 days 01:45:26.556000,307.0,306.0,307.0,308.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:43:59.856000,2023-09-03 13:45:00.901,1,1.0,False,,False,True
0 days 01:46:53.307000,VER,1,0 days 00:01:26.733000,17.0,1.0,,,0 days 00:00:28.348000,0 days 00:00:29.889000,0 days 00:00:28.496000,0 days 01:45:54.904000,0 days 01:46:24.793000,0 days 01:46:53.289000,309.0,307.0,307.0,310.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:45:26.574000,2023-09-03 13:46:27.619,1,1.0,False,,False,True
0 days 01:48:19.580000,VER,1,0 days 00:01:26.273000,18.0,1.0,,,0 days 00:00:28.247000,0 days 00:00:29.668000,0 days 00:00:28.358000,0 days 01:47:21.536000,0 days 01:47:51.204000,0 days 01:48:19.562000,311.0,308.0,307.0,311.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:46:53.307000,2023-09-03 13:47:54.352,1,1.0,False,,False,True
