Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:05.115000,VER,1,0 days 00:01:17.639000,1.0,1.0,,,,0 days 00:00:31.613000,0 days 00:00:25.440000,,0 days 01:02:39.687000,0 days 01:03:05.187000,292.0,233.0,109.0,297.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:01:47.219000,2023-07-02 13:02:48.211,124,1.0,False,,False,False
0 days 01:05:00.594000,VER,1,0 days 00:01:55.479000,2.0,1.0,,0 days 01:04:57.200000,0 days 00:00:31.698000,0 days 00:00:46.293000,0 days 00:00:37.488000,0 days 01:03:36.813000,0 days 01:04:23.106000,0 days 01:05:00.594000,176.0,184.0,,195.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:03:05.115000,2023-07-02 13:04:06.107,4,1.0,False,,False,False
0 days 01:07:05.315000,VER,1,0 days 00:02:04.721000,3.0,2.0,0 days 01:05:13.560000,,0 days 00:00:37.877000,0 days 00:00:46.298000,0 days 00:00:40.546000,0 days 01:05:38.471000,0 days 01:06:24.769000,0 days 01:07:05.315000,191.0,61.0,270.0,236.0,False,MEDIUM,3.0,False,Red Bull Racing,0 days 01:05:00.594000,2023-07-02 13:06:01.586,41,1.0,False,,False,False
0 days 01:08:15.006000,VER,1,0 days 00:01:09.691000,4.0,2.0,,,0 days 00:00:17.618000,0 days 00:00:30.970000,0 days 00:00:21.103000,0 days 01:07:22.933000,0 days 01:07:53.903000,0 days 01:08:15.006000,293.0,230.0,270.0,297.0,True,MEDIUM,4.0,False,Red Bull Racing,0 days 01:07:05.315000,2023-07-02 13:08:06.307,1,1.0,False,,False,True
0 days 01:09:25.032000,VER,1,0 days 00:01:10.026000,5.0,2.0,,,0 days 00:00:17.716000,0 days 00:00:31.158000,0 days 00:00:21.152000,0 days 01:08:32.722000,0 days 01:09:03.880000,0 days 01:09:25.032000,285.0,230.0,270.0,289.0,False,MEDIUM,5.0,False,Red Bull Racing,0 days 01:08:15.006000,2023-07-02 13:09:15.998,1,1.0,False,,False,True
0 days 01:10:35.188000,VER,1,0 days 00:01:10.156000,6.0,2.0,,,0 days 00:00:17.681000,0 days 00:00:31.308000,0 days 00:00:21.167000,0 days 01:09:42.713000,0 days 01:10:14.021000,0 days 01:10:35.188000,286.0,231.0,270.0,288.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:09:25.032000,2023-07-02 13:10:26.024,1,1.0,False,,False,True
0 days 01:11:45.356000,VER,1,0 days 00:01:10.168000,7.0,2.0,,,0 days 00:00:17.733000,0 days 00:00:31.265000,0 days 00:00:21.170000,0 days 01:10:52.921000,0 days 01:11:24.186000,0 days 01:11:45.356000,288.0,228.0,271.0,291.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:10:35.188000,2023-07-02 13:11:36.180,1,1.0,False,,False,True
0 days 01:12:55.323000,VER,1,0 days 00:01:09.967000,8.0,2.0,,,0 days 00:00:17.679000,0 days 00:00:31.137000,0 days 00:00:21.151000,0 days 01:12:03.035000,0 days 01:12:34.172000,0 days 01:12:55.323000,290.0,229.0,271.0,292.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:45.356000,2023-07-02 13:12:46.348,1,1.0,False,,False,True
0 days 01:14:05.312000,VER,1,0 days 00:01:09.989000,9.0,2.0,,,0 days 00:00:17.590000,0 days 00:00:31.216000,0 days 00:00:21.183000,0 days 01:13:12.913000,0 days 01:13:44.129000,0 days 01:14:05.312000,293.0,230.0,271.0,291.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:12:55.323000,2023-07-02 13:13:56.315,1,1.0,False,,False,True
0 days 01:15:15.168000,VER,1,0 days 00:01:09.856000,10.0,2.0,,,0 days 00:00:17.605000,0 days 00:00:31.174000,0 days 00:00:21.077000,0 days 01:14:22.917000,0 days 01:14:54.091000,0 days 01:15:15.168000,291.0,228.0,271.0,290.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:14:05.312000,2023-07-02 13:15:06.304,1,1.0,False,,False,True
